irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
37184|NEWHM : B078.24|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Shortwing||Non palearctic skin of a Lesser Shortwing||Lesser Shortwing|Muscicapidae - Turdinae : : : Aves : Chordata|Stevens, H.|08/12/1902|Asia, India, Upper Assam, Dibrugarh, Margherita||1|||non palearctic skin|Stevens, H.||59|mm|||||1
37185|NEWHM : B078.25|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Shortwing||Non palearctic skin of a Lesser Shortwing||Lesser Shortwing|Muscicapidae - Turdinae : : : Aves : Chordata|Stevens, H.|1902|Asia, India, Upper Assam, Dibrugarh, Margherita||1|||non palearctic skin|Stevens, H.||59|mm|||||1
37186|NEWHM : B078.26|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Shortwing||Non palearctic skin of a Lesser Shortwing||Lesser Shortwing|Muscicapidae - Turdinae : : : Aves : Chordata|Stevens, H.|08/12/1902|Asia, India, Upper Assam, Dibrugarh, Margherita|1||||non palearctic skin|Stevens, H.||55|mm|||||1
37187|NEWHM : B078.27|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Shortwing||Non palearctic skin of a Lesser Shortwing||Lesser Shortwing|Muscicapidae - Turdinae : : : Aves : Chordata|Stevens, H.|24/01/1903|Asia, India, Upper Assam, Dibrugarh, Margherita|1||||non palearctic skin|Stevens, H.||62|mm|||||1
37188|NEWHM : B078.28|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Shortwing||Non palearctic skin of a Lesser Shortwing||Lesser Shortwing|Muscicapidae - Turdinae : : : Aves : Chordata|Stevens, H.|26/12/1902|Asia, India, Upper Assam, Dibrugarh, Margherita||1|||non palearctic skin|Stevens, H.||57.5|mm|||||1
37196|NEWHM : B078.36|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-bellied Flowerpecker||Non palearctic skin of a White-bellied Flowerpecker||White-bellied Flowerpecker|Dicaeidae : : : Aves : Chordata|Stevens, H.|1903-03-|Asia, India, Upper Assam, Dibrugarh, Rungagora|1||||non palearctic skin|Stevens, H.||||||||1
37197|NEWHM : B078.37|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-bellied Flowerpecker||Non palearctic skin of a White-bellied Flowerpecker||White-bellied Flowerpecker|Dicaeidae : : : Aves : Chordata|Stevens, H.|1903-03-|Asia, India, Upper Assam, Dibrugarh, Rungagora|1||||non palearctic skin|Stevens, H.||||||||1
37198|NEWHM : B078.38|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-bellied Flowerpecker||Non palearctic skin of a White-bellied Flowerpecker||White-bellied Flowerpecker|Dicaeidae : : : Aves : Chordata|Stevens, H.|26/01/1905|Asia, India, Upper Assam, North Lakhimpur, Subansiri Gorge||1|||non palearctic skin|Stevens, H.||||||||1
37199|NEWHM : B078.39|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-bellied Flowerpecker||Non palearctic skin of a White-bellied Flowerpecker||White-bellied Flowerpecker|Dicaeidae : : : Aves : Chordata|Stevens, H.|01/12/1902|Asia, India, Upper Assam, Dibrugarh, Margherita|1||||non palearctic skin|Stevens, H.||||||||1
37200|NEWHM : B078.40|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-bellied Flowerpecker||Non palearctic skin of a White-bellied Flowerpecker||White-bellied Flowerpecker|Dicaeidae : : : Aves : Chordata|Stevens, H.|30/11/1903|Asia, India, Upper Assam, Dibrugarh, Rungagora|1||||non palearctic skin|Stevens, H.||||||||1
