irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
26774|NEWHM : 1999.H1205|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Dunlin||Mount of a Dunlin||Dunlin|Scolopacidae : : : Aves : Chordata|Duncan, J.|1894-05-30|UK, England, Northumberland (NE England), Whitley Bay, St. Mary's Island|1||adult|nearly complete summer plumage|mount|||||||||1
26787|NEWHM : 1999.H1218|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Blackbird||Mount of a Blackbird|Partial albinism is often most striking when it is seen in a bird that would otherwise be completely black or dark brown. Birds like blackbirds or crows are often seen with patches of white feathers that would perhaps go un-noticed on other birds. However, the striking white patches on this bird's head and chest make it highly conspicuous.|Blackbird|Muscicapidae : : : Aves : Chordata||||1||adult||mount||||||feathers (non white), feathers (non white)|brown (dark), brown (dark)||1
26792|NEWHM : 1999.H1223|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Slender-billed Gull||Mount of a Slender-billed Gull||Slender-billed Gull|Laridae : : : Aves : Chordata|Chapman, Abel|1883-05-|Europe, Spain, South of Spain|1||adult||mount|||||||||1
26837|NEWHM : 1999.H1268|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Blackbird||Mount of a Blackbird|The white feathers of this bird are due to albinism. This is a genetic condition in which the bird lacks a pigment, melanin, which normally gives a dark colour to its skin and feathers. This bird is a partial albino - only some of the feathers are affected, with some areas remaining black. Partial albinism occurs in most bird species, but true albinos, which are completely white with pink skin and eyes, are very rare in the wild.|Blackbird|Turdidae : : : Aves : Chordata|||||1|adult||mount||||||plumage, plumage|white||1
26923|NEWHM : 1999.H1343|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Double-banded Sandgrouse||Double banded sandgrouse. Standing position both feet on the floor. Bird is looking to the left with two glass eyes.||Double-banded Sandgrouse|Pteroclididae : : : Aves : Chordata|Chapman, Abel|1899-07-|South Africa, Transvaal, Mah-woomzi River|1||adult||mount|||||||||1
26924|NEWHM : 1999.H1344|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Double-banded Sandgrouse||Double band sandgrouse. Laid down with legs out to the side. Looking to the right with two glass eyes.||Double-banded Sandgrouse|Pteroclididae : : : Aves : Chordata|Chapman, Abel|1899-07-|South Africa, Transvaal, Mah-woomzi River||1|adult||mount|||||||||1
26931|NEWHM : 1999.H1351|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Great Northern Diver||Mount of a Great Northern Diver||Great Northern Diver|Gaviidae : : : Aves : Chordata|Zollner, Louis|22/06/1909|Europe, Iceland|1||adult|summer breeding plumage|mount|||||||||1
26933|NEWHM : 1999.H1353|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Black-throated Diver||Mount of a Black-throated Diver||Black-throated Diver|Gaviidae : : : Aves : Chordata|Barnett, W. E.|1859-08-22|UK, Scotland, Sutherland|||adult|summer plumage|mount|||||||||1
27002|NEWHM : 1999.H1422|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Black-throated diver||Mount of a Black-throated diver||Black-throated Diver|Gaviidae : : : Aves : Chordata|Purvis, C. R.||UK, England, Tyne and Wear (NE England), Sunderland (nr.)|||adult|assuming breeding plumage (probably)|mount|Cullingford||||||||1
27017|NEWHM : 1999.H1437|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Eider||Mount of a Eider||Eider|Anatidae : : : Aves : Chordata||14/09/1936|UK, England, Northumberland (NE England), Lindisfarne|1||adult|assuming winter plumage after eclipse plumage|mount|||||||||1
