irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoName|MinHeyNumber|MinChemClass|PetAssociated|GeoAge|GeoRock|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeForm|DimHeight|DimLength|DimWidth|DimDepth|DimLengthUnit|PhyColour|ConHazard|MulDescription|NumMulFiles
139262|NEWHM : HANM.5.2825|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral (?)||Elaterite. Number on original label 926.5|||||||||||||||||||||1
140201|NEWHM : HANM.5.4212|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
140202|NEWHM : HANM.5.4213|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz Rock crystal.|||||||||||||||||||||1
140209|NEWHM : HANM.5.4221|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Quartz Amethyst|||||||||||||||||||||1
140238|NEWHM : HANM.5.4250|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|shell agate||Shell agate.|||||||||||||||||||||1
140242|NEWHM : HANM.5.4254|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|Shell agate||Shell agate.|||||||||||||||||||||1
140260|NEWHM : HANM.5.4272|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140265|NEWHM : HANM.5.4277|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140267|NEWHM : HANM.5.4279|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140269|NEWHM : HANM.5.4281|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140270|NEWHM : HANM.5.4282|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140271|NEWHM : HANM.5.4283|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140272|NEWHM : HANM.5.4284|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140277|NEWHM : HANM.5.4289|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140278|NEWHM : HANM.5.4290|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140279|NEWHM : HANM.5.4291|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140280|NEWHM : HANM.5.4292|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140281|NEWHM : HANM.5.4293|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140282|NEWHM : HANM.5.4294|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140285|NEWHM : HANM.5.4297|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140286|NEWHM : HANM.5.4298|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Unidentified mineral.|||||||||||||||||||||1
140288|NEWHM : HANM.5.4300|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
140289|NEWHM : HANM.5.4301|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
140290|NEWHM : HANM.5.4302|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
140646|NEWHM : HANM.5.4831|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|24|mineral||24 specimens mostly unidentified, but including malachite, cinnabar, cuprite and copper.|||||||||||||||||||hazard||1
140648|NEWHM : HANM.5.4833|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|28|mineral||28 specimens including sphalerite, quartz, baryte.|||||||||||||||||||||1
140649|NEWHM : HANM.5.4834|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|22|mineral||22 specimens including baryte and slate.|||||||||||||||||||||1
140702|NEWHM : HANM.5.4887|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|2|mineral||Silicate minerals.|||||||||||||||||||||1
140706|NEWHM : HANM.5.4891|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Several small minerals.|||||||||||||||||||||1
143214|NEWHM : HANM.456|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral|Amethyst|Amethyst.|||||||||||||||||||||1
143237|NEWHM : HANM.486|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)|Sylvite|Sylvite and halite.(D479, sedimentary rocks chemical drawer 2)|||||||||||||||||||||1
143240|NEWHM : HANM.489|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock|sedimentary|Jet (prev. no. 956.9, sedimentary rocks the formation of coal drawer 3)|||||||||||||||||||||8
143665|NEWHM : HANM.1669|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Suitcase containing diverse mineral and archive material.|||||||||||||||||||||1
143666|NEWHM : HANM.1670|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|200|mineral, notebook||Box containing 200 minerals and notebook with their identification and location.|||||||||||||||||||||1
