irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
123773|NEWHM : HANM.1.3516|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123774|NEWHM : HANM.1.3517|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123775|NEWHM : HANM.1.3518|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123776|NEWHM : HANM.1.3519|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123777|NEWHM : HANM.1.3520|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|marine gastropod|||||||||||||||||1
123778|NEWHM : HANM.1.3521|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|mollusc shell|marine gastropod|||||||||||||||||1
123780|NEWHM : HANM.1.3523|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|mollusc shell|marine gastropod|||||||||||||||||1
123781|NEWHM : HANM.1.3524|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|mollusc shell|marine gastropod|||||||||||||||||1
123786|NEWHM : HANM.1.3529|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123787|NEWHM : HANM.1.3530|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
