irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpePreparation|DimHeight|DimDiameter|DimLengthUnit|ParentSum|MulDescription|NumMulFiles
530513|NEWHM : 2016.H3.66|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. scrobiculates"" and ""Grdfchieber"". Number 66 of 91, Box S, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||84|95|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530515|NEWHM : 2016.H3.67|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus porcerus"" and ""Barafchnamm"". Broken/damaged. Number 67 of 91, Box T, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||100|66|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530516|NEWHM : 2016.H3.68|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus camnester"" and ""Barafchnamm"". Broken/damaged. Number 68 of 91, Box T, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||62|51|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530517|NEWHM : 2016.H3.69|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Rol. hepaticus"" and ""Leberpilz"". Broken/damaged. Number 69 of 91, Box T, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :||||||84|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530448|NEWHM : 2016.H3.5|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. ceraceus"" and ""Machsfchnammchen?"". Number 5 of 91, Box A, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||66|31|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530449|NEWHM : 2016.H3.6|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 6 of 91, Box A, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||25|14|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530450|NEWHM : 2016.H3.7|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 7 of 91, Box A, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||52|40|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530451|NEWHM : 2016.H3.8|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus piperatus"". Number 8 of 91, Box B, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||64|78|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530452|NEWHM : 2016.H3.9|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. vellereus"". Number 9 of 91, Box B, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||56|71|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530453|NEWHM : 2016.H3.10|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Pallus impudicus"" and ""Gichtmorchel"". Number 10 of 91, Box C, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||99|35|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530454|NEWHM : 2016.H3.11|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus rubescens"" and ""Berlfchnamin?"". Number 11 of 91, Box C, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||86|56|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530455|NEWHM : 2016.H3.12|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaric torminosus"" and ""Birfenreizfer"". Number 12 of 91, Box D, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||55|45|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530457|NEWHM : 2016.H3.13|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus lateritius"" and ""Gchwefelfopi?"". Number 13 of 91, Box D, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||73|44|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530458|NEWHM : 2016.H3.14|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Cap is broken from stalk. Number 14 of 91, Box D, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||59|44|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530459|NEWHM : 2016.H3.15|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Edges of cap chipped. Number 15 of 91, Box D, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||55|38|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530460|NEWHM : 2016.H3.16|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Polyporus pes caprae"" and ""Ziegenfutz?"". Number 16 of 91, Box E, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||66|99|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
