irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
139438|NEWHM : HANM.5.3001|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||coal measures (? - quantity unknown)||Coal measures.|||||||||||||||||||1
139439|NEWHM : HANM.5.3002|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||coal measures (? - quantity unknown)||Coal measures.|||||||||||||||||||1
139440|NEWHM : HANM.5.3003|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||coal measures (? - quantity unknown)||Coal measures.|||||||||||||||||||1
139441|NEWHM : HANM.5.3004|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|7|fossil crinoid||Crinoid calyx and 6 other fossils.|||||||||||||||||||1
139442|NEWHM : HANM.5.3005|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||goniatite / nautiloid||Goniatite / nautiloid.|||||||||||||||||||1
139443|NEWHM : HANM.5.3006|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|4|fossil fish||2 sheels and 2 fish ring vertebrae.|||||||||||||||||||1
139444|NEWHM : HANM.5.3007|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|13|fossil||Fossils.|||||||||||||||||||1
139445|NEWHM : HANM.5.3008|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|13|fossil||Fossils.|||||||||||||||||||1
139503|NEWHM : HANM.5.3171|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil, fish||Box of fossil fish from Cullercoats. Quantity unknown|||||||||||||||||||1
139692|NEWHM : HANM.5.3529|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139693|NEWHM : HANM.5.3530|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139694|NEWHM : HANM.5.3531|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139695|NEWHM : HANM.5.3532|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|2|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139696|NEWHM : HANM.5.3533|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||unidentified specimen||Unidentified specimen. Quantity unknown.|||||||||||||||||||1
139697|NEWHM : HANM.5.3534|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||unidentified specimen||Unidentified specimen. Quantity unknown.|||||||||||||||||||1
139698|NEWHM : HANM.5.3535|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|6|fossil brachiopod||Brachiopods.|||||||||||||||||||1
139699|NEWHM : HANM.5.3536|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||rhynchonella sp (? - quantity unknown)||Rhynchonella sp.|||||||||||||||||||1
139700|NEWHM : HANM.5.3537|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||brachythris pinguis||Brachythris pinguis.|||||||||||||||||||1
139701|NEWHM : HANM.5.3538|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
139702|NEWHM : HANM.5.3539|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil||Limestone with brachiopods.|||||||||||||||||||1
139708|NEWHM : HANM.5.3545|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil vertebrate||Archaeopteryx lithographica.|||||||||||||||||||2
139709|NEWHM : HANM.5.3546|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil vertebrate||Compsognathus.|||||||||||||||||||2
139710|NEWHM : HANM.5.3547|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|cast||Archaeopteryx cast.|||||||||||||||||||2
