irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
81945|NEWHM : G15.84|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Slab of shale bearing the intercentrum and neural arch of a dorsal vertebra, in addition to five dermal scutes.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81946|NEWHM : G15.85|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Pleurocentrum articulated with associated neural arch.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81947|NEWHM : G15.86|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Pleurocentrum.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81948|NEWHM : G15.87|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Pleurocentrum.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81949|NEWHM : G15.88|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Isolated left quadrate in association with a fragment of the quadrate ramus of the pterygoid.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81950|NEWHM : G15.89|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Isolated interclavicle and counterpart, labelled sternal plate - intercavicle of anthracosaurus russelli.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81951|NEWHM : G15.90|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Proximal part of an anterior dorsal rib.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81952|NEWHM : G15.91|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Skull table and underlying basicranial region. this specimen together with NEWHM G015.69 and NEWHM G015.70 form the constituent parts of a single skull described by Watson, D.M.S. (1929), as the Holotype of Baphetes kirkbyi sp.nov. (see Boyd and Turner, 1980)||Carboniferous (Late) & Westphalian B||Coal Measures Group & Earl David's Parrot Coal|baphetes & kirkbyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Incertae Sedis & Loxommatoidea & Loxommatidae : : : :||Kirkby, J. W.||UK, Scotland, Fife (Scotland)|||||||||2
81967|NEWHM : G16.06|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Shark||Carboniferous||Coal Measures Group & Low Main Seam|Shark, palaeoniscid, Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81968|NEWHM : G16.07|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Fish||Carboniferous||Coal Measures Group & Low Main Seam|palaeoniscus & sp., Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
